market_ids,firm_ids,shares,prices,cost,xi,char1
1,1,4.2541346661357895e-05,4.914348497835647,3.2625279682947226,-0.04217347079454542,4.616822673065799
1,2,5.103463080106932e-05,4.634006568617581,3.3315138291279127,-0.13538303316576297,4.497338999225601
1,3,2.600303603827645e-05,5.53685548193987,3.3586206136281627,0.0270235552494901,4.888996359841546
1,4,3.8172725855567214e-05,4.896286941574068,3.3117463208218334,-0.03285060682743657,4.744040277374513
1,5,2.1768306982531086e-05,6.333960944902314,3.352858306506293,0.21994410556412303,4.990127340377573
1,6,4.2578153628502055e-05,4.658842290665116,3.3372335602805747,-0.11714733109103509,4.682267918009655
1,7,3.6424418798163895e-05,6.492702445484184,3.327468473434769,0.20653075093110385,4.420019044542951
1,8,7.056356029513537e-05,4.523696250614081,3.2847796323709764,-0.1573649044510062,4.217225258996269
1,9,2.717232606226348e-05,6.946584758581432,3.313831396875107,0.3235483922846094,4.728908300030951
1,10,2.6831580000695622e-05,7.132911766517366,3.328594072674871,0.3533723503345205,4.737150821502733
2,1,3.9119806882674285e-05,5.307522107599896,3.3049446643238243,0.005342855560322601,4.616822673065799
2,2,5.105844826515476e-05,4.703642544351144,3.334596341068832,-0.138775040414945,4.497338999225601
2,3,2.670296039655811e-05,7.408767762442244,3.3007973136843685,0.39506563425150926,4.888996359841546
2,4,4.5462072700618406e-05,4.304337421599546,3.347348268406312,-0.24407739833309572,4.744040277374513
2,5,3.2550746091483176e-05,4.475919181699065,3.3425273352878047,-0.22629967697065126,4.990127340377573
2,6,3.5485506007304115e-05,8.399029952581936,3.3166521598096708,0.5054141841565384,4.682267918009655
2,7,5.950437081475736e-05,4.553776454602734,3.3025245667849705,-0.14736296833050416,4.420019044542951
2,8,5.496928492171744e-05,5.572158767584459,3.354481881825935,0.049982736209345506,4.217225258996269
2,9,3.880053020527095e-05,4.894515131860451,3.305602128244384,-0.08144031439233058,4.728908300030951
2,10,4.085217991951375e-05,4.7336761169244586,3.283194290464964,-0.10566667033178145,4.737150821502733
3,1,2.8892136867019014e-05,6.31115827346467,3.374306482716644,0.14000905446293696,4.616822673065799
3,2,4.097998566527697e-05,5.3346436308806044,3.3716965727864987,0.014911962142107285,4.497338999225601
3,3,2.7356937391092666e-05,5.288386523425206,3.311764763899302,-0.018361610289798932,4.888996359841546
